,C,penalty,mean train score,mean test score
0,1e-07,l1,0.46458119006794946,0.46458051129070715
1,1e-07,l2,0.7180345462627802,0.7065075668792394
2,1e-05,l1,0.46458119006794946,0.46458051129070715
3,1e-05,l2,0.7180345462627802,0.7074283771923149
4,0.001,l1,0.46458119006794946,0.46458051129070715
5,0.001,l2,0.7230939226519336,0.7175547539686163
6,0.01,l1,0.6982479202387757,0.700084724695473
7,0.01,l2,0.7309074744395758,0.7239928161575575
8,0.1,l1,0.7341258652441734,0.7350247832417597
9,0.1,l2,0.7465479138883597,0.7350298565768179
10,1.0,l1,0.7465453737219788,0.7304283416789694
11,1.0,l2,0.7474661840350544,0.7295049946983648
12,10.0,l1,0.7474668190766495,0.7285841843852894
13,10.0,l2,0.7460868736902267,0.7276659107397428
14,1e-07,l1,0.46458119006794946,0.46458051129070715
15,1e-07,l2,0.7101974979361149,0.6899659579217591
16,1e-05,l1,0.46458119006794946,0.46458051129070715
17,1e-05,l2,0.7120372134374802,0.6964065567782294
18,0.001,l1,0.46458119006794946,0.46458051129070715
19,0.001,l2,0.7290677589382103,0.7175547539686163
20,0.01,l1,0.6996272305836033,0.700084724695473
21,0.01,l2,0.7502254397663046,0.7285994043904642
22,0.1,l1,0.7534431955293072,0.7414704554332882
23,0.1,l2,0.7792036578395886,0.7322699623051205
24,1.0,l1,0.7796646980377214,0.7203146482403139
25,1.0,l2,0.7819667238204103,0.7157156700099945
26,10.0,l1,0.781966088778815,0.7092750711535243
27,10.0,l2,0.7824264939353528,0.7074359871949024
