,C,gamma,kernel,mean train score,mean test score
0,1e-07,1.0,linear,0.5354188099320506,0.5354194887092928
1,1e-07,1.0,rbf,0.5354188099320506,0.5354194887092928
2,1e-07,1.0,sigmoid,0.5354188099320506,0.5354194887092928
3,1e-07,0.1,linear,0.5354188099320506,0.5354194887092928
4,1e-07,0.1,rbf,0.5354188099320506,0.5354194887092928
5,1e-07,0.1,sigmoid,0.5354188099320506,0.5354194887092928
6,1e-07,0.01,linear,0.5354188099320506,0.5354194887092928
7,1e-07,0.01,rbf,0.5354188099320506,0.5354194887092928
8,1e-07,0.01,sigmoid,0.5354188099320506,0.5354194887092928
9,1e-07,0.001,linear,0.5354188099320506,0.5354194887092928
10,1e-07,0.001,rbf,0.5354188099320506,0.5354194887092928
11,1e-07,0.001,sigmoid,0.5354188099320506,0.5354194887092928
12,1e-07,0.0001,linear,0.5354188099320506,0.5354194887092928
13,1e-07,0.0001,rbf,0.5354188099320506,0.5354194887092928
14,1e-07,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
15,1e-05,1.0,linear,0.5354188099320506,0.5354194887092928
16,1e-05,1.0,rbf,0.5354188099320506,0.5354194887092928
17,1e-05,1.0,sigmoid,0.5354188099320506,0.5354194887092928
18,1e-05,0.1,linear,0.5354188099320506,0.5354194887092928
19,1e-05,0.1,rbf,0.5354188099320506,0.5354194887092928
20,1e-05,0.1,sigmoid,0.5354188099320506,0.5354194887092928
21,1e-05,0.01,linear,0.5354188099320506,0.5354194887092928
22,1e-05,0.01,rbf,0.5354188099320506,0.5354194887092928
23,1e-05,0.01,sigmoid,0.5354188099320506,0.5354194887092928
24,1e-05,0.001,linear,0.5354188099320506,0.5354194887092928
25,1e-05,0.001,rbf,0.5354188099320506,0.5354194887092928
26,1e-05,0.001,sigmoid,0.5354188099320506,0.5354194887092928
27,1e-05,0.0001,linear,0.5354188099320506,0.5354194887092928
28,1e-05,0.0001,rbf,0.5354188099320506,0.5354194887092928
29,1e-05,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
30,0.001,1.0,linear,0.71526195465803,0.7083517241729197
31,0.001,1.0,rbf,0.5354188099320506,0.5354194887092928
32,0.001,1.0,sigmoid,0.5354188099320506,0.5354194887092928
33,0.001,0.1,linear,0.71526195465803,0.7083517241729197
34,0.001,0.1,rbf,0.5354188099320506,0.5354194887092928
35,0.001,0.1,sigmoid,0.5354188099320506,0.5354194887092928
36,0.001,0.01,linear,0.71526195465803,0.7083517241729197
37,0.001,0.01,rbf,0.5354188099320506,0.5354194887092928
38,0.001,0.01,sigmoid,0.5354188099320506,0.5354194887092928
39,0.001,0.001,linear,0.71526195465803,0.7083517241729197
40,0.001,0.001,rbf,0.5354188099320506,0.5354194887092928
41,0.001,0.001,sigmoid,0.5354188099320506,0.5354194887092928
42,0.001,0.0001,linear,0.71526195465803,0.7083517241729197
43,0.001,0.0001,rbf,0.5354188099320506,0.5354194887092928
44,0.001,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
45,0.01,1.0,linear,0.730449609449419,0.7322775723077081
46,0.01,1.0,rbf,0.5354188099320506,0.5354194887092928
47,0.01,1.0,sigmoid,0.6996278656251985,0.7010004616734902
48,0.01,0.1,linear,0.730449609449419,0.7322775723077081
49,0.01,0.1,rbf,0.5354188099320506,0.5354194887092928
50,0.01,0.1,sigmoid,0.692254397663047,0.672501001983674
51,0.01,0.01,linear,0.730449609449419,0.7322775723077081
52,0.01,0.01,rbf,0.5354188099320506,0.5354194887092928
53,0.01,0.01,sigmoid,0.5354188099320506,0.5354194887092928
54,0.01,0.001,linear,0.730449609449419,0.7322775723077081
55,0.01,0.001,rbf,0.5354188099320506,0.5354194887092928
56,0.01,0.001,sigmoid,0.5354188099320506,0.5354194887092928
57,0.01,0.0001,linear,0.730449609449419,0.7322775723077081
58,0.01,0.0001,rbf,0.5354188099320506,0.5354194887092928
59,0.01,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
60,0.1,1.0,linear,0.7410255921762875,0.7285917943878767
61,0.1,1.0,rbf,0.5367981202768782,0.5354194887092928
62,0.1,1.0,sigmoid,0.5662367435066996,0.5961067226762857
63,0.1,0.1,linear,0.7410255921762875,0.7285917943878767
64,0.1,0.1,rbf,0.7562062615101288,0.730435951681557
65,0.1,0.1,sigmoid,0.7194094113164411,0.7148050063670355
66,0.1,0.01,linear,0.7410255921762875,0.7285917943878767
67,0.1,0.01,rbf,0.7235511526004954,0.7203070382377263
68,0.1,0.01,sigmoid,0.7134222391566647,0.7046710195881466
69,0.1,0.001,linear,0.7410255921762875,0.7285917943878767
70,0.1,0.001,rbf,0.5354188099320506,0.5354194887092928
71,0.1,0.001,sigmoid,0.5354188099320506,0.5354194887092928
72,0.1,0.0001,linear,0.7410255921762875,0.7285917943878767
73,0.1,0.0001,rbf,0.5354188099320506,0.5354194887092928
74,0.1,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
75,1.0,1.0,linear,0.7424049025211152,0.731346615324516
76,1.0,1.0,rbf,0.9696431066234839,0.6927207788583981
77,1.0,1.0,sigmoid,0.5565764907601447,0.5694133702672125
78,1.0,0.1,linear,0.7424049025211152,0.731346615324516
79,1.0,0.1,rbf,0.8044999047437608,0.7414552354281133
80,1.0,0.1,sigmoid,0.643965834762177,0.6586888472875414
81,1.0,0.01,linear,0.7424049025211152,0.731346615324516
82,1.0,0.01,rbf,0.7460875087318218,0.7350374665794054
83,1.0,0.01,sigmoid,0.7276890836349782,0.7313592986621615
84,1.0,0.001,linear,0.7424049025211152,0.731346615324516
85,1.0,0.001,rbf,0.7161916555534388,0.7120273554226343
86,1.0,0.001,sigmoid,0.71526195465803,0.7083517241729197
87,1.0,0.0001,linear,0.7424049025211152,0.731346615324516
88,1.0,0.0001,rbf,0.5354188099320506,0.5354194887092928
89,1.0,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
90,10.0,1.0,linear,0.7332075950974789,0.7267476370941965
91,10.0,1.0,rbf,0.9995402298850574,0.6688279074014886
92,10.0,1.0,sigmoid,0.5561148155204165,0.5629854547483879
93,10.0,0.1,linear,0.7332075950974789,0.7267476370941965
94,10.0,0.1,rbf,0.8762627802121039,0.7478882242819963
95,10.0,0.1,sigmoid,0.6241830189877438,0.6421320183248862
96,10.0,0.01,linear,0.7332075950974789,0.7267476370941965
97,10.0,0.01,rbf,0.7718428907093414,0.7350171732391723
98,10.0,0.01,sigmoid,0.7309042992315996,0.7276709840748014
99,10.0,0.001,linear,0.7332075950974789,0.7267476370941965
100,10.0,0.001,rbf,0.7345881755254969,0.7331933092857251
101,10.0,0.001,sigmoid,0.730449609449419,0.7322775723077081
102,10.0,0.0001,linear,0.7332075950974789,0.7267476370941965
103,10.0,0.0001,rbf,0.7166514256683812,0.7120273554226341
104,10.0,0.0001,sigmoid,0.71526195465803,0.7083517241729197
105,1e-07,1.0,linear,0.5354188099320506,0.5354194887092928
106,1e-07,1.0,rbf,0.5354188099320506,0.5354194887092928
107,1e-07,1.0,sigmoid,0.5354188099320506,0.5354194887092928
108,1e-07,0.1,linear,0.5354188099320506,0.5354194887092928
109,1e-07,0.1,rbf,0.5354188099320506,0.5354194887092928
110,1e-07,0.1,sigmoid,0.5354188099320506,0.5354194887092928
111,1e-07,0.01,linear,0.5354188099320506,0.5354194887092928
112,1e-07,0.01,rbf,0.5354188099320506,0.5354194887092928
113,1e-07,0.01,sigmoid,0.5354188099320506,0.5354194887092928
114,1e-07,0.001,linear,0.5354188099320506,0.5354194887092928
115,1e-07,0.001,rbf,0.5354188099320506,0.5354194887092928
116,1e-07,0.001,sigmoid,0.5354188099320506,0.5354194887092928
117,1e-07,0.0001,linear,0.5354188099320506,0.5354194887092928
118,1e-07,0.0001,rbf,0.5354188099320506,0.5354194887092928
119,1e-07,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
120,1e-05,1.0,linear,0.5354188099320506,0.5354194887092928
121,1e-05,1.0,rbf,0.5354188099320506,0.5354194887092928
122,1e-05,1.0,sigmoid,0.5354188099320506,0.5354194887092928
123,1e-05,0.1,linear,0.5354188099320506,0.5354194887092928
124,1e-05,0.1,rbf,0.5354188099320506,0.5354194887092928
125,1e-05,0.1,sigmoid,0.5354188099320506,0.5354194887092928
126,1e-05,0.01,linear,0.5354188099320506,0.5354194887092928
127,1e-05,0.01,rbf,0.5354188099320506,0.5354194887092928
128,1e-05,0.01,sigmoid,0.5354188099320506,0.5354194887092928
129,1e-05,0.001,linear,0.5354188099320506,0.5354194887092928
130,1e-05,0.001,rbf,0.5354188099320506,0.5354194887092928
131,1e-05,0.001,sigmoid,0.5354188099320506,0.5354194887092928
132,1e-05,0.0001,linear,0.5354188099320506,0.5354194887092928
133,1e-05,0.0001,rbf,0.5354188099320506,0.5354194887092928
134,1e-05,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
135,0.001,1.0,linear,0.7212370610274973,0.7092826811561116
136,0.001,1.0,rbf,0.5354188099320506,0.5354194887092928
137,0.001,1.0,sigmoid,0.5354188099320506,0.5354194887092928
138,0.001,0.1,linear,0.7212370610274973,0.7092826811561116
139,0.001,0.1,rbf,0.5354188099320506,0.5354194887092928
140,0.001,0.1,sigmoid,0.5354188099320506,0.5354194887092928
141,0.001,0.01,linear,0.7212370610274973,0.7092826811561116
142,0.001,0.01,rbf,0.5354188099320506,0.5354194887092928
143,0.001,0.01,sigmoid,0.5354188099320506,0.5354194887092928
144,0.001,0.001,linear,0.7212370610274973,0.7092826811561116
145,0.001,0.001,rbf,0.5354188099320506,0.5354194887092928
146,0.001,0.001,sigmoid,0.5354188099320506,0.5354194887092928
147,0.001,0.0001,linear,0.7212370610274973,0.7092826811561116
148,0.001,0.0001,rbf,0.5354188099320506,0.5354194887092928
149,0.001,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
150,0.01,1.0,linear,0.7695453102178192,0.7331831626156088
151,0.01,1.0,rbf,0.5354188099320506,0.5354194887092928
152,0.01,1.0,sigmoid,0.5354188099320506,0.5354194887092928
153,0.01,0.1,linear,0.7695453102178192,0.7331831626156088
154,0.01,0.1,rbf,0.5354188099320506,0.5354194887092928
155,0.01,0.1,sigmoid,0.5354188099320506,0.5354194887092928
156,0.01,0.01,linear,0.7695453102178192,0.7331831626156088
157,0.01,0.01,rbf,0.5354188099320506,0.5354194887092928
158,0.01,0.01,sigmoid,0.5354188099320506,0.5354194887092928
159,0.01,0.001,linear,0.7695453102178192,0.7331831626156088
160,0.01,0.001,rbf,0.5354188099320506,0.5354194887092928
161,0.01,0.001,sigmoid,0.5354188099320506,0.5354194887092928
162,0.01,0.0001,linear,0.7695453102178192,0.7331831626156088
163,0.01,0.0001,rbf,0.5354188099320506,0.5354194887092928
164,0.01,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
165,0.1,1.0,linear,0.7819654537372198,0.7295024580308357
166,0.1,1.0,rbf,0.5354188099320506,0.5354194887092928
167,0.1,1.0,sigmoid,0.5349577697339175,0.5335778680831419
168,0.1,0.1,linear,0.7819654537372198,0.7295024580308357
169,0.1,0.1,rbf,0.5423153616561885,0.5363402990223683
170,0.1,0.1,sigmoid,0.5961376770178447,0.6108650543607852
171,0.1,0.01,linear,0.7819654537372198,0.7295024580308357
172,0.1,0.01,rbf,0.7000742998666413,0.6862852533369862
173,0.1,0.01,sigmoid,0.7134222391566647,0.7138943427240765
174,0.1,0.001,linear,0.7819654537372198,0.7295024580308357
175,0.1,0.001,rbf,0.5432368070108592,0.5390976566265365
176,0.1,0.001,sigmoid,0.5340388645456278,0.5335778680831418
177,0.1,0.0001,linear,0.7819654537372198,0.7295024580308357
178,0.1,0.0001,rbf,0.5354188099320506,0.5354194887092928
179,0.1,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
180,1.0,1.0,linear,0.7792068330475646,0.7129608490733554
181,1.0,1.0,rbf,1.0,0.5528996646525527
182,1.0,1.0,sigmoid,0.5041385660760779,0.514253534846202
183,1.0,0.1,linear,0.7792068330475646,0.7129608490733554
184,1.0,0.1,rbf,0.940200673144091,0.6770746135387019
185,1.0,0.1,sigmoid,0.5483012637327745,0.5648549787173595
186,1.0,0.01,linear,0.7792068330475646,0.7129608490733554
187,1.0,0.01,rbf,0.8229021400901759,0.74881410793013
188,1.0,0.01,sigmoid,0.6632945957960247,0.64581018624213
189,1.0,0.001,linear,0.7792068330475646,0.7129608490733554
190,1.0,0.001,rbf,0.7580440718867086,0.7350222465742305
191,1.0,0.001,sigmoid,0.7033003111703816,0.6945725461546658
192,1.0,0.0001,linear,0.7792068330475646,0.7129608490733554
193,1.0,0.0001,rbf,0.5551971804153172,0.5482880030845877
194,1.0,0.0001,sigmoid,0.5400171461230711,0.5363377623548392
195,10.0,1.0,linear,0.5501314536102114,0.5225915610144641
196,10.0,1.0,rbf,1.0,0.5565752959022673
197,10.0,1.0,sigmoid,0.5312777036895917,0.5372458893302691
198,10.0,0.1,linear,0.5501314536102114,0.5225915610144641
199,10.0,0.1,rbf,0.9940191782561758,0.648600520524177
200,10.0,0.1,sigmoid,0.5579583412713532,0.560253463819511
201,10.0,0.01,linear,0.5501314536102114,0.5225915610144641
202,10.0,0.01,rbf,0.8877602082936432,0.7239801328199119
203,10.0,0.01,sigmoid,0.6278732456975932,0.6172955065471389
204,10.0,0.001,linear,0.5501314536102114,0.5225915610144641
205,10.0,0.001,rbf,0.8054207150568362,0.74881410793013
206,10.0,0.001,sigmoid,0.7166425350860481,0.7037375259374254
207,10.0,0.0001,linear,0.5501314536102114,0.5225915610144641
208,10.0,0.0001,rbf,0.7511437099129993,0.7368664038679107
209,10.0,0.0001,sigmoid,0.7166368197116911,0.7065202502168851
210,1e-07,1.0,linear,0.5354188099320506,0.5354194887092928
211,1e-07,1.0,rbf,0.5354188099320506,0.5354194887092928
212,1e-07,1.0,sigmoid,0.5354188099320506,0.5354194887092928
213,1e-07,0.1,linear,0.5354188099320506,0.5354194887092928
214,1e-07,0.1,rbf,0.5354188099320506,0.5354194887092928
215,1e-07,0.1,sigmoid,0.5354188099320506,0.5354194887092928
216,1e-07,0.01,linear,0.5354188099320506,0.5354194887092928
217,1e-07,0.01,rbf,0.5354188099320506,0.5354194887092928
218,1e-07,0.01,sigmoid,0.5354188099320506,0.5354194887092928
219,1e-07,0.001,linear,0.5354188099320506,0.5354194887092928
220,1e-07,0.001,rbf,0.5354188099320506,0.5354194887092928
221,1e-07,0.001,sigmoid,0.5354188099320506,0.5354194887092928
222,1e-07,0.0001,linear,0.5354188099320506,0.5354194887092928
223,1e-07,0.0001,rbf,0.5354188099320506,0.5354194887092928
224,1e-07,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
225,1e-05,1.0,linear,0.5459979678668953,0.5400133936045538
226,1e-05,1.0,rbf,0.5354188099320506,0.5354194887092928
227,1e-05,1.0,sigmoid,0.5354188099320506,0.5354194887092928
228,1e-05,0.1,linear,0.5459979678668953,0.5400133936045538
229,1e-05,0.1,rbf,0.5354188099320506,0.5354194887092928
230,1e-05,0.1,sigmoid,0.5354188099320506,0.5354194887092928
231,1e-05,0.01,linear,0.5459979678668953,0.5400133936045538
232,1e-05,0.01,rbf,0.5354188099320506,0.5354194887092928
233,1e-05,0.01,sigmoid,0.5354188099320506,0.5354194887092928
234,1e-05,0.001,linear,0.5459979678668953,0.5400133936045538
235,1e-05,0.001,rbf,0.5354188099320506,0.5354194887092928
236,1e-05,0.001,sigmoid,0.5354188099320506,0.5354194887092928
237,1e-05,0.0001,linear,0.5459979678668953,0.5400133936045538
238,1e-05,0.0001,rbf,0.5354188099320506,0.5354194887092928
239,1e-05,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
240,0.001,1.0,linear,0.7865625198450498,0.7350323932443471
241,0.001,1.0,rbf,0.5354188099320506,0.5354194887092928
242,0.001,1.0,sigmoid,0.5354188099320506,0.5354194887092928
243,0.001,0.1,linear,0.7865625198450498,0.7350323932443471
244,0.001,0.1,rbf,0.5354188099320506,0.5354194887092928
245,0.001,0.1,sigmoid,0.5354188099320506,0.5354194887092928
246,0.001,0.01,linear,0.7865625198450498,0.7350323932443471
247,0.001,0.01,rbf,0.5354188099320506,0.5354194887092928
248,0.001,0.01,sigmoid,0.5354188099320506,0.5354194887092928
249,0.001,0.001,linear,0.7865625198450498,0.7350323932443471
250,0.001,0.001,rbf,0.5354188099320506,0.5354194887092928
251,0.001,0.001,sigmoid,0.5354188099320506,0.5354194887092928
252,0.001,0.0001,linear,0.7865625198450498,0.7350323932443471
253,0.001,0.0001,rbf,0.5354188099320506,0.5354194887092928
254,0.001,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
255,0.01,1.0,linear,0.8316441226900362,0.7368587938653232
256,0.01,1.0,rbf,0.5354188099320506,0.5354194887092928
257,0.01,1.0,sigmoid,0.6752460786181494,0.6798167511376954
258,0.01,0.1,linear,0.8316441226900362,0.7368587938653232
259,0.01,0.1,rbf,0.5354188099320506,0.5354194887092928
260,0.01,0.1,sigmoid,0.6991674604686606,0.6945471794793744
261,0.01,0.01,linear,0.8316441226900362,0.7368587938653232
262,0.01,0.01,rbf,0.5354188099320506,0.5354194887092928
263,0.01,0.01,sigmoid,0.6697224868228869,0.6541101623974552
264,0.01,0.001,linear,0.8316441226900362,0.7368587938653232
265,0.01,0.001,rbf,0.5354188099320506,0.5354194887092928
266,0.01,0.001,sigmoid,0.5354188099320506,0.5354194887092928
267,0.01,0.0001,linear,0.8316441226900362,0.7368587938653232
268,0.01,0.0001,rbf,0.5354188099320506,0.5354194887092928
269,0.01,0.0001,sigmoid,0.5354188099320506,0.5354194887092928
270,0.1,1.0,linear,0.8735028894392584,0.7313821286699237
271,0.1,1.0,rbf,0.5354188099320506,0.5354194887092928
272,0.1,1.0,sigmoid,0.555190829999365,0.5786392300706716
273,0.1,0.1,linear,0.8735028894392584,0.7313821286699237
274,0.1,0.1,rbf,0.5354188099320506,0.5354194887092928
275,0.1,0.1,sigmoid,0.5653064075696957,0.5952036690359143
276,0.1,0.01,linear,0.8735028894392584,0.7313821286699237
277,0.1,0.01,rbf,0.5984206515526768,0.5749813554936608
278,0.1,0.01,sigmoid,0.6619019495776973,0.6963913367730544
279,0.1,0.001,linear,0.8735028894392584,0.7313821286699237
280,0.1,0.001,rbf,0.6591350733473043,0.6375533334348001
281,0.1,0.001,sigmoid,0.6481107512542071,0.6311127345783297
282,0.1,0.0001,linear,0.8735028894392584,0.7313821286699237
283,0.1,0.0001,rbf,0.5464545627738617,0.5381819196485194
284,0.1,0.0001,sigmoid,0.5363383501619355,0.5363402990223682
285,1.0,1.0,linear,0.8716714294786309,0.6890527576112708
286,1.0,1.0,rbf,1.0,0.5344986783962172
287,1.0,1.0,sigmoid,0.5377151203403823,0.5639493884094587
288,1.0,0.1,linear,0.8716714294786309,0.6890527576112708
289,1.0,0.1,rbf,0.9903410173366356,0.5768077561146371
290,1.0,0.1,sigmoid,0.5584117609703435,0.58324074496852
291,1.0,0.01,linear,0.8716714294786309,0.6890527576112708
292,1.0,0.01,rbf,0.8942008001524101,0.7019009786463327
293,1.0,0.01,sigmoid,0.6154543722613831,0.6448741559238798
294,1.0,0.001,linear,0.8716714294786309,0.6890527576112708
295,1.0,0.001,rbf,0.810939226519337,0.7396186881370207
296,1.0,0.001,sigmoid,0.6646669206833048,0.666938090092284
297,1.0,0.0001,linear,0.8716714294786309,0.6890527576112708
298,1.0,0.0001,rbf,0.752061980059694,0.7212379952209184
299,1.0,0.0001,sigmoid,0.6444262399187147,0.6108574443581978
300,10.0,1.0,linear,0.7231129738997905,0.6347579258176949
301,10.0,1.0,rbf,1.0,0.5391001932940657
302,10.0,1.0,sigmoid,0.5413945513431129,0.5565829059048547
303,10.0,0.1,linear,0.7231129738997905,0.6347579258176949
304,10.0,0.1,rbf,1.0,0.5731397348675098
305,10.0,0.1,sigmoid,0.5625477868800406,0.5814016610098981
306,10.0,0.01,linear,0.7231129738997905,0.6347579258176949
307,10.0,0.01,rbf,0.9696424715818885,0.6660578664596746
308,10.0,0.01,sigmoid,0.6103924557058487,0.6218767281047543
309,10.0,0.001,linear,0.7231129738997905,0.6347579258176949
310,10.0,0.001,rbf,0.8725808090429923,0.732257278967475
311,10.0,0.001,sigmoid,0.6356937829427828,0.6264604863298987
312,10.0,0.0001,linear,0.7231129738997905,0.6347579258176949
313,10.0,0.0001,rbf,0.8095599161745094,0.74606182366102
314,10.0,0.0001,sigmoid,0.6959573252048008,0.6678715837430053
